"Timestamp","What age group do you belong to?","What is your annual income?","What is your biggest spending every month?","Do you have a credit card?","What was your age when you got your first credit card?","What type of credit card do you have?","What do you use your credit card for?","How did you get your first card? ","What are the important factors you will consider when selecting your credit card?","What is your average credit card spending amount per month?","How do you access your credit card statements?"
"2019/02/23 4:44:30 PM GMT+8","31-40","80,001 to 90,000","Dining","Yes","22","Cashback;Rewards","Groceries;Online purchases;Travel bookings;Transport (Petrol/Grab/Taxi/Public transport);Bills;Shopping;Entertainment;Overseas Spending;Dining","Roadshow","Cashback amount","601-1000","Online portal"
"2019/02/23 4:47:49 PM GMT+8","21-30","50,001 to 60,000","Bills","Yes","23","Cashback;Milescard","Groceries;Online purchases;Travel bookings;Transport (Petrol/Grab/Taxi/Public transport);Bills;Shopping;Entertainment;Overseas Spending;Dining","Roadshow","Cashback amount;Annual fees","601-1000","Online portal"
"2019/02/23 4:58:29 PM GMT+8","31-40","above 100,000","Shopping","Yes","25","Cashback;Rewards","Groceries;Online purchases;Travel bookings;Transport (Petrol/Grab/Taxi/Public transport);Shopping;Entertainment;Dining","Roadshow","Cashback amount","above 1000","Online portal"
"2019/02/23 4:59:49 PM GMT+8","31-40","90,001 to 100,000","Transport (Petrol/Grab/Taxi/Public transport)","Yes","27","Cashback","Online purchases;Transport (Petrol/Grab/Taxi/Public transport);Bills;Shopping;Entertainment;Dining","Online application","Cashback amount","501-600","Online portal"
"2019/02/23 5:03:02 PM GMT+8","31-40","above 100,000","Dining","Yes","26","Cashback;Milescard","Groceries;Online purchases;Travel bookings;Transport (Petrol/Grab/Taxi/Public transport);Bills;Shopping;Entertainment;Overseas Spending;Dining","Roadshow","Cashback amount","400 and below","Mobile app"
"2019/02/23 5:13:03 PM GMT+8","40 and above","90,001 to 100,000","Groceries","Yes","27","Rewards","Groceries;Online purchases;Transport (Petrol/Grab/Taxi/Public transport);Bills;Shopping;Entertainment;Dining","Online application","Annual fees;Reward points","above 1000","Mobile app"
"2019/02/23 5:15:58 PM GMT+8","21-30","30,001 to 40,000","Bills","No","","","","","","",""
"2019/02/23 5:16:38 PM GMT+8","40 and above","60,001 to 70,001","Bills","Yes","32","General","Online purchases;Bills;Dining","Referral","Annual fees;Reward points","601-1000","Paper mail"
"2019/02/23 5:19:22 PM GMT+8","31-40","30,000 and below","Dining","Yes","20","General","Online purchases;Dining","Referral","Annual fees","400 and below","Mobile app"
"2019/02/23 5:38:35 PM GMT+8","21-30","50,001 to 60,000","Transport (Petrol/Grab/Taxi/Public transport)","Yes","21","Cashback","Groceries;Online purchases;Travel bookings;Transport (Petrol/Grab/Taxi/Public transport);Bills;Shopping;Entertainment;Overseas Spending;Dining","Branch walk-in","Cashback amount","401-500","Online portal"
"2019/02/23 5:50:17 PM GMT+8","21-30","40,001 to 50,000","Online Spending","Yes","23","Cashback;Rewards","Groceries;Online purchases;Shopping;Overseas Spending;Dining","Roadshow","Cashback amount","601-1000","Mobile app"
"2019/02/23 6:19:16 PM GMT+8","40 and above","60,001 to 70,001","Transport (Petrol/Grab/Taxi/Public transport)","Yes","32","General","Online purchases;Transport (Petrol/Grab/Taxi/Public transport)","Roadshow","Annual fees;Credit limit","501-600","Paper mail"
